segment,baseline_inband,best_inband,delta,target_force_n,stiffness,damping,speed_scale
C3,0.769,0.952,0.184,7.51,465.03,72.97,0.93
C4,0.613,0.936,0.323,4.48,430.01,66.68,0.52
C5,0.761,1.0,0.239,3.29,747.87,65.82,1.28
C13,0.816,0.869,0.053,4.32,275.37,77.32,2.35
C14,0.753,0.946,0.193,5.64,543.61,76.21,0.91
C15,0.719,0.903,0.184,8.22,626.31,50.06,0.61
C16,0.505,0.758,0.253,4.26,385.36,61.09,1.86
C17,0.606,0.837,0.231,6.01,669.22,75.18,1.65
SL1,0.778,1.0,0.222,4.72,489.14,76.52,1.75
SL2,0.876,1.0,0.124,4.46,693.75,59.06,4.29
SL3,0.802,0.952,0.15,4.18,418.95,69.49,4.09
SL4,0.865,1.0,0.135,5.21,762.9,54.65,3.49
SL9,0.919,1.0,0.081,3.59,665.94,62.95,4.41
SL10,0.934,1.0,0.066,3.98,569.66,63.82,3.94
SL11,0.405,1.0,0.595,3.86,581.89,67.45,1.39
